,user_id
788,6612
789,6618
790,6623
791,6626
792,6702
793,6718
794,6726
795,6732
796,6747
797,6802
798,6820
799,6825
800,6839
801,6938
802,6963
803,6975
804,6978
805,6989
806,7004
807,7013
808,7019
809,7050
810,7055
811,7063
812,7065
813,7084
814,7087
815,7094
816,7095
817,7166
818,7181
819,7189
820,7213
821,7244
822,7248
823,7288
824,7294
825,7320
826,7325
827,7336
828,7344
829,7348
830,7374
831,7379
832,7384
833,7426
834,7432
835,7435
836,7451
837,7464
838,7467
839,7473
840,7474
841,7475
842,7478
843,7511
844,7519
845,7556
846,7579
847,7596
848,7623
849,7626
850,7630
851,7644
852,7656
853,7680
854,7684
855,7685
856,7700
857,7718
858,7728
859,7729
860,7739
861,7753
862,7767
863,7775
864,7779
865,7815
866,7837
867,7861
868,7863
869,7869
870,7898
871,7904
872,7914
873,7924
874,7929
875,7934
876,7954
877,7957
878,7966
879,8037
880,8053
881,8059
882,8067
883,8076
884,8085
885,8116
886,8128
887,8138
888,8149
889,8156
890,8160
891,8171
892,8187
893,8192
894,8203
895,8207
896,8208
897,8221
898,8224
899,8229
900,8236
901,8248
902,8274
903,8276
904,8282
905,8294
906,8299
907,8300
908,8314
909,8316
910,8324
911,8327
912,8360
913,8373
914,8387
915,8397
916,8401
917,8409
918,8416
919,8419
920,8455
921,8480
922,8481
923,8492
924,8499
925,8504
926,8539
927,8545
928,8548
929,8573
930,8576
931,8590
932,8593
933,8600
934,8601
935,8627
936,8633
937,8634
938,8641
939,8666
940,8677
941,8679
942,8680
943,8681
944,8685
945,8692
946,8698
947,8699
948,8701
949,8714
950,8747
951,8753
952,8755
953,8766
954,8802
955,8806
956,8808
957,8834
958,8838
959,8850
960,8851
961,8855
962,8858
963,8859
964,8866
965,8869
966,8879
967,8880
968,8881
969,8886
970,8889
971,8897
972,8907
973,8912
974,8919
975,8921
976,8933
977,8934
978,8947
979,8963
980,8968
981,8971
982,9001
983,9005
984,9019
985,9026
986,9032
987,9038
988,9064
989,9066
990,9085
991,9086
992,9088
993,9094
994,9096
995,9100
996,9111
997,9116
998,9117
999,9118
1000,9119
1001,9129
1002,9137
1003,9140
1004,9159
1005,9165
1006,9177
1007,9192
1008,9200
1009,9202
1010,9222
1011,9224
1012,9231
1013,9252
1014,9255
1015,9265
1016,9287
1017,9299
1018,9305
1019,9309
1020,9315
1021,9325
1022,9331
1023,9340
1024,9344
1025,9347
1026,9349
1027,9360
1028,9370
1029,9383
1030,9389
1031,9392
1032,9407
1033,9414
1034,9421
1035,9435
1036,9450
1037,9457
1038,9468
1039,9477
1040,9493
1041,9507
1042,9511
1043,9512
1044,9517
1045,9519
1046,9523
1047,9530
1048,9534
1049,9542
1050,9552
1051,9553
1052,9557
1053,9565
1054,9572
1055,9579
1056,9585
1057,9595
1058,9599
1059,9601
1060,9603
1061,9617
1062,9620
1063,9626
1064,9653
1065,9674
1066,9683
1067,9688
1068,9705
1069,9712
1070,9713
1071,9715
1072,9721
1073,9770
1074,9774
1075,9778
1076,9783
1077,9811
1078,9825
1079,9840
1080,9844
1081,9847
1082,9858
1083,9859
1084,9867
1085,9881
1086,9898
1087,9915
1088,9919
1089,9944
1090,9961
1091,9968
1092,9973
1093,9985
1094,9988
1095,10004
1096,10010
1097,10034
1098,10047
1099,10050
1100,10065
1101,10077
1102,10079
1103,10090
1104,10096
1105,10098
1106,10120
