user_id,accuracy,precision,recall,balanced_accuracy
18200,0.726776,0.183824,0.390625,0.58088
19308,0.746765,0.048544,0.512821,0.632673
21326,0.60499,0.224138,0.206349,0.476414
21879,0.653967,0.317526,0.316872,0.542702
23840,0.705305,0.153846,0.333333,0.544172
25257,0.708333,0.173516,0.4,0.57448
29888,0.74061,0.071111,0.571429,0.658894
34597,0.678086,0.115139,0.233766,0.487841
38198,0.746606,0.25,0.5,0.641192
38299,0.724093,0.082902,0.307692,0.530929
38617,0.567948,0.409382,0.269285,0.512508
39766,0.802395,0.363636,0.761905,0.785062
41000,0.697112,0.10221,0.37,0.547405
41242,0.705317,0.256071,0.386667,0.578551
42175,0.566165,0.548673,0.304918,0.546209
42479,0.765101,0.461538,0.5625,0.691506
43823,0.754844,0.049834,0.75,0.752464
44037,0.771084,0.116279,1.0,0.881988
49028,0.663415,0.24,0.27907,0.522251
50566,0.739583,0.208333,0.454545,0.615508
58360,0.636183,0.309804,0.29368,0.527437
58496,0.629305,0.187067,0.222527,0.480797
58584,0.749129,0.167832,0.489796,0.631565
58818,0.739089,0.112727,0.5,0.627016
58828,0.765766,0.214286,0.6,0.691089
58969,0.534884,0.326087,0.234375,0.473669
59056,0.617347,0.221662,0.23219,0.486154
59363,0.545567,0.373134,0.237718,0.490549
59407,0.723493,0.190083,0.396552,0.582437
59432,0.730994,0.552632,0.42,0.639752
59605,0.744526,0.213592,0.478261,0.628172
59789,0.797203,0.4,0.636364,0.731405
59948,0.755621,0.125475,0.622642,0.692764
59973,0.597584,0.37037,0.275482,0.518526
60343,0.74812,0.04902,0.588235,0.669918
60363,0.672727,0.258182,0.312775,0.539549
60475,0.694426,0.065445,0.186567,0.464959
60541,0.753609,0.09434,0.609756,0.684638
60621,0.612125,0.25,0.241895,0.492528
60766,0.615385,0.174603,0.197605,0.465923
60845,0.702632,0.220513,0.367521,0.565565
60871,0.753363,0.241379,0.56,0.668889
60930,0.689445,0.181333,0.309091,0.532526
61076,0.792899,0.531915,0.657895,0.744978
61169,0.670562,0.188596,0.279221,0.515366
61170,0.682484,0.247887,0.318841,0.544036
61177,0.741265,0.154506,0.318584,0.555169
61184,0.647264,0.291667,0.295775,0.529466
61298,0.508235,0.590698,0.277899,0.52699
61397,0.612762,0.33218,0.277457,0.517801
61459,0.818182,0.294118,1.0,0.901639
61551,0.617152,0.322086,0.273438,0.516871
61809,0.609677,0.267532,0.241784,0.495447
61847,0.733333,0.243902,0.526316,0.644837
61992,0.690972,0.193103,0.314607,0.53718
62015,0.716667,0.456522,0.446809,0.629419
62043,0.653513,0.236842,0.286364,0.51925
62222,0.748593,0.107807,0.508772,0.635456
62438,0.680664,0.276923,0.341232,0.554995
63069,0.635501,0.335106,0.304348,0.534471
63172,0.693333,0.378378,0.378378,0.587419
63194,0.673394,0.112319,0.21831,0.479936
63334,0.678466,0.117647,0.227273,0.486518
63554,0.797872,0.24,1.0,0.892045
63590,0.736508,0.213836,0.453333,0.614054
63600,0.69356,0.181818,0.326733,0.54074
63727,0.721053,0.229167,0.407407,0.590207
63892,0.683871,0.313253,0.38806,0.576746
64336,0.744624,0.126316,0.5,0.630747
64402,0.763066,0.188811,0.574468,0.677177
64411,0.648045,0.195652,0.257143,0.500099
64490,0.765432,0.285714,0.6,0.694366
64730,0.767241,0.290323,0.642857,0.713585
64779,0.738462,0.27451,0.5,0.639222
64829,0.695219,0.108527,0.269231,0.506838
64857,0.631016,0.083916,0.136364,0.429704
64860,0.736007,0.124088,0.441558,0.600176
64922,0.694779,0.380952,0.393443,0.592998
65048,0.695804,0.25641,0.408163,0.581719
65161,0.686401,0.218182,0.326087,0.5432
65370,0.617347,0.692308,0.378947,0.610266
65386,0.66967,0.230769,0.302326,0.53012
65664,0.748918,0.137931,0.5,0.633721
65889,0.780702,0.354839,0.6875,0.741709
